Car_Age,KM_Driven,Fuel_Type,Transmission,Mileage,Engine,Owner_Type,Selling_Price
6,173418,Electric,Automatic,14.93,2212,Fourth & Above,8.64
10,146559,Diesel,Manual,19.19,2310,Fourth & Above,9.83
4,5155,Electric,Manual,22.57,1370,Third,10.01
18,128950,Electric,Automatic,21.15,1514,Third,24.5
12,72494,Electric,Automatic,24.85,2138,Second,8.29
2,81229,Electric,Automatic,15.6,1790,Fourth & Above,7.37
10,109648,Petrol,Automatic,21.3,1133,Third,4.11
4,43547,Petrol,Manual,11.76,2960,Fourth & Above,13.26
14,33795,Petrol,Manual,18.27,2444,Second,4.69
16,191368,CNG,Manual,25.0,1161,Fourth & Above,15.79
15,26447,CNG,Automatic,23.87,2680,Second,4.72
8,172670,Diesel,Manual,29.81,2944,Second,14.84
14,177886,Petrol,Automatic,15.56,2781,Second,20.83
8,92960,CNG,Automatic,19.96,2863,Third,2.02
16,68278,Electric,Manual,16.59,2777,First,11.07
13,60077,Electric,Automatic,18.81,1175,First,12.07
18,117782,Petrol,Manual,27.14,1541,Third,19.99
15,107932,Diesel,Automatic,23.68,1189,Fourth & Above,12.23
13,145600,Diesel,Manual,27.65,2040,Third,14.62
9,186172,Electric,Automatic,14.07,1623,Fourth & Above,19.99
15,114869,Diesel,Manual,27.47,1217,Second,14.43
13,144251,Petrol,Manual,11.2,1406,Third,9.6
1,53781,Electric,Automatic,27.77,1367,First,3.06
7,191339,CNG,Automatic,16.58,1343,Fourth & Above,18.52
9,160024,CNG,Manual,16.29,1683,Third,21.91
1,58798,Diesel,Automatic,20.24,1502,Third,24.28
12,103696,Electric,Automatic,28.81,2023,Fourth & Above,23.24
8,55939,Electric,Automatic,10.96,2422,Second,20.14
11,34516,CNG,Manual,17.04,2868,Second,16.44
19,192598,Electric,Manual,27.13,2586,Second,19.76
17,146521,Electric,Automatic,17.92,2419,Second,11.37
8,55290,Electric,Automatic,13.98,2257,Fourth & Above,15.27
3,131688,Diesel,Manual,18.5,2383,First,9.37
3,91661,Electric,Automatic,17.71,2714,Third,8.84
1,77954,Petrol,Manual,28.31,877,Third,19.16
5,27746,Diesel,Automatic,25.24,2108,Second,11.89
10,72990,Electric,Automatic,20.1,1447,Fourth & Above,6.09
7,63810,Electric,Automatic,29.77,2987,First,5.85
9,123362,Petrol,Manual,19.31,1352,First,21.62
7,151295,Diesel,Manual,11.16,1797,Third,17.27
9,138669,CNG,Manual,15.25,1081,Second,14.11
8,7659,CNG,Manual,18.72,2081,Third,10.62
12,91516,Diesel,Automatic,13.14,2646,Third,11.34
2,79567,Electric,Automatic,28.95,2183,First,2.38
1,20037,Electric,Manual,25.34,1957,Fourth & Above,11.92
16,131498,CNG,Automatic,15.37,903,First,20.09
5,182810,CNG,Automatic,21.82,1565,Third,10.31
3,17109,CNG,Manual,24.43,2942,Second,10.21
12,27010,Petrol,Automatic,28.83,2396,Second,1.38
8,13787,CNG,Automatic,27.63,1279,Fourth & Above,11.99
3,144544,Petrol,Manual,20.3,2860,Fourth & Above,1.61
1,159455,Diesel,Automatic,25.49,2763,Fourth & Above,14.69
3,66709,Electric,Automatic,21.24,2942,Third,13.16
5,39518,CNG,Automatic,21.05,2872,Third,21.16
15,58909,Electric,Manual,12.29,2095,Fourth & Above,14.96
14,23351,Electric,Manual,12.52,2328,Second,8.76
3,189402,CNG,Automatic,20.59,1989,Second,13.39
1,20282,CNG,Automatic,15.38,1738,Second,17.79
5,157850,Diesel,Automatic,10.42,1561,Third,3.26
14,160336,Petrol,Manual,24.46,1453,First,15.91
7,195747,Petrol,Manual,10.65,2469,Second,23.0
9,10075,Electric,Manual,21.91,2731,Second,8.18
15,184526,CNG,Automatic,20.78,1926,Second,16.04
15,33365,Diesel,Automatic,29.38,2725,Fourth & Above,20.71
10,184272,Diesel,Automatic,19.68,1374,Third,13.28
13,16002,Diesel,Automatic,11.27,2129,Fourth & Above,18.23
19,18947,Diesel,Automatic,21.03,2077,Fourth & Above,8.46
7,99840,Diesel,Manual,26.82,2003,First,8.35
17,121219,Petrol,Automatic,29.94,839,Fourth & Above,17.02
4,83610,Petrol,Automatic,18.61,1319,First,17.93
5,57142,Petrol,Automatic,16.41,2439,Fourth & Above,23.49
7,61307,CNG,Manual,28.13,1262,Second,6.4
13,140565,Electric,Automatic,13.82,2051,Third,12.24
15,55085,Diesel,Manual,22.31,2648,Fourth & Above,7.01
11,39228,CNG,Manual,18.11,1282,First,2.92
4,187947,Diesel,Manual,10.82,1142,Third,10.68
13,167727,Petrol,Manual,16.95,1996,First,9.98
7,48472,CNG,Manual,15.3,2262,Second,7.49
19,54437,Petrol,Automatic,23.72,2002,Fourth & Above,8.13
2,185488,Diesel,Automatic,28.98,2421,Third,9.65
10,64711,Diesel,Manual,15.36,2980,Second,24.73
13,142888,Electric,Manual,26.23,2931,Fourth & Above,19.79
6,82175,Diesel,Manual,11.11,1792,Fourth & Above,2.71
12,69307,Petrol,Automatic,20.76,1989,First,21.94
12,51733,Diesel,Automatic,11.41,2403,First,16.2
11,133202,Electric,Manual,28.68,1993,Second,22.37
7,100028,Electric,Automatic,25.33,1397,First,9.2
1,147312,Petrol,Automatic,23.16,1444,Second,12.15
1,97493,CNG,Manual,26.48,1247,Second,22.51
13,130149,Diesel,Manual,22.95,1563,Second,7.54
9,168834,Electric,Automatic,29.38,1534,First,22.97
3,13259,Diesel,Automatic,24.28,2442,Third,20.88
7,186211,Diesel,Automatic,28.49,1400,Second,24.53
6,133775,CNG,Manual,20.34,2972,Third,8.78
8,19849,Electric,Manual,12.34,2960,Fourth & Above,6.66
9,86768,Diesel,Manual,20.56,1780,First,8.94
5,111108,Electric,Automatic,12.54,2582,First,23.91
1,94709,Petrol,Automatic,21.85,2997,Third,8.99
19,59869,Petrol,Manual,19.65,1379,Fourth & Above,14.57
10,131888,Diesel,Automatic,22.45,1582,Fourth & Above,10.69
12,68095,Electric,Manual,10.2,1331,Second,10.51
15,122886,Diesel,Automatic,13.9,2312,First,5.64
9,75910,Electric,Manual,19.83,1411,Fourth & Above,13.89
17,28567,Electric,Automatic,29.01,2805,Fourth & Above,21.39
17,40292,CNG,Automatic,17.67,1900,Second,2.19
12,79813,CNG,Manual,18.49,2470,Second,22.34
7,102136,CNG,Manual,24.29,2215,Third,16.97
2,56631,Diesel,Manual,22.08,2235,First,15.8
3,14885,CNG,Manual,15.98,1674,Fourth & Above,16.02
17,195731,CNG,Manual,18.22,1016,Third,8.11
5,190378,Petrol,Automatic,14.35,1175,First,10.96
17,71314,Electric,Manual,29.32,2409,Third,20.18
17,70087,Electric,Manual,12.61,810,First,8.35
17,165237,CNG,Manual,17.44,2413,First,12.28
2,195001,Electric,Manual,10.52,1617,Fourth & Above,1.47
2,100998,Petrol,Manual,14.44,2096,First,18.61
5,54812,Petrol,Automatic,25.61,1490,Second,11.02
1,186572,CNG,Manual,14.02,2399,Fourth & Above,13.61
1,63643,Petrol,Manual,11.6,2332,Second,3.75
19,49900,Electric,Manual,19.49,1955,Third,24.8
2,179018,Diesel,Automatic,10.2,2747,Third,8.26
12,143923,Electric,Automatic,11.7,1583,First,16.24
6,21288,Diesel,Manual,26.15,2772,First,14.95
4,77692,CNG,Manual,25.43,2676,Second,19.84
11,143440,Diesel,Automatic,28.3,1584,Second,8.05
17,90436,Petrol,Automatic,27.09,1196,Second,19.14
6,51403,Electric,Automatic,23.66,1881,Third,10.18
5,96170,Diesel,Manual,11.05,2303,Second,10.87
2,14168,Electric,Manual,25.66,2833,Fourth & Above,17.15
6,54879,CNG,Automatic,26.91,2414,Fourth & Above,19.82
11,64871,CNG,Manual,25.98,1259,Third,17.0
16,37174,Petrol,Automatic,20.17,2908,Second,22.6
16,142653,CNG,Automatic,14.66,1345,Second,7.84
1,115155,Diesel,Automatic,26.91,1296,First,22.61
9,76853,CNG,Manual,24.54,1304,Fourth & Above,4.14
6,69046,Petrol,Automatic,29.62,1892,Third,16.83
16,54678,Electric,Automatic,13.11,2437,Second,14.14
3,31649,Electric,Manual,14.51,1517,First,12.87
4,132795,CNG,Automatic,14.24,2392,Third,8.46
19,93668,Diesel,Manual,25.85,2208,Third,13.09
3,150639,Petrol,Automatic,13.74,1068,Fourth & Above,4.88
19,94906,Diesel,Manual,11.33,2746,Second,9.86
7,101019,Petrol,Automatic,29.97,2277,Third,3.37
9,198016,CNG,Automatic,10.5,2341,First,14.72
1,83002,Petrol,Automatic,26.7,1664,First,3.3
8,33803,Petrol,Automatic,17.31,909,Third,4.85
7,154302,CNG,Automatic,26.83,1449,First,3.05
18,153934,Diesel,Manual,21.09,2898,Third,10.15
8,179427,CNG,Manual,28.03,2299,First,21.21
1,167331,Petrol,Automatic,28.52,1910,Third,22.77
11,35795,CNG,Automatic,10.18,1395,Third,2.73
18,13770,Petrol,Automatic,11.51,1778,Third,16.23
10,16093,CNG,Manual,15.01,1530,First,17.43
3,182643,Electric,Manual,23.39,856,Third,13.81
7,136265,Electric,Automatic,27.77,2583,Fourth & Above,17.01
16,105311,CNG,Manual,19.2,2501,Third,6.61
16,22569,Diesel,Automatic,22.14,2086,Second,12.75
17,16190,Petrol,Automatic,13.77,911,Second,10.38
2,67824,Electric,Automatic,26.1,1510,Fourth & Above,3.15
1,178824,Diesel,Manual,29.35,2001,Third,16.01
16,168399,Petrol,Automatic,15.37,1747,Second,12.89
12,47070,Electric,Automatic,19.9,825,Third,7.6
5,45197,Electric,Automatic,11.72,1557,Second,12.37
5,7261,CNG,Manual,21.18,2600,First,19.61
9,162584,Petrol,Manual,20.06,2355,First,20.24
9,142788,Diesel,Manual,12.89,2641,Fourth & Above,16.59
3,91795,Diesel,Automatic,18.84,1904,Fourth & Above,12.23
19,33933,Diesel,Manual,16.68,1461,Third,14.82
16,140450,Petrol,Automatic,20.44,1708,Fourth & Above,10.24
16,45583,Diesel,Manual,21.71,1321,Third,4.04
3,117082,Diesel,Automatic,10.17,2656,First,10.25
1,90371,Diesel,Manual,25.22,2559,First,13.73
11,165105,CNG,Automatic,24.26,1589,Second,15.37
17,160072,CNG,Manual,17.33,2097,Third,23.46
8,116032,Petrol,Manual,11.06,2529,First,19.66
4,47604,Petrol,Manual,25.1,971,First,4.65
6,100074,Diesel,Automatic,29.1,1064,Third,5.18
8,78869,CNG,Manual,14.8,2786,Second,3.41
3,10410,Electric,Manual,16.47,1849,Second,18.72
16,88375,Electric,Manual,13.68,2292,Second,17.95
3,192116,Diesel,Manual,21.54,2685,Second,24.67
18,199387,Diesel,Automatic,13.1,1275,First,13.53
14,101055,CNG,Manual,17.12,1849,Third,20.83
18,142868,CNG,Automatic,23.94,833,Third,14.83
2,91716,CNG,Automatic,21.2,1961,First,21.98
3,59245,Petrol,Automatic,17.73,1615,First,18.3
16,48056,Petrol,Automatic,18.4,1553,First,16.43
9,153781,Diesel,Manual,21.24,1365,Fourth & Above,14.56
4,63557,Petrol,Automatic,10.12,1261,Third,18.35
1,22543,CNG,Automatic,11.57,2454,Third,11.07
4,173490,CNG,Automatic,27.63,880,Third,3.32
1,101038,Petrol,Automatic,11.56,2737,Second,1.96
14,152796,Electric,Manual,24.14,1669,First,12.5
16,8828,Diesel,Manual,28.4,2230,First,15.38
8,121656,Electric,Automatic,15.41,1869,First,2.89
7,22087,Diesel,Automatic,17.41,1398,Fourth & Above,7.89
3,148677,Electric,Automatic,21.38,2434,Third,8.73
17,36337,Petrol,Manual,27.63,1606,First,14.51
1,141554,Diesel,Manual,28.84,2734,Fourth & Above,7.68
16,70333,Diesel,Manual,24.79,1876,First,3.3
12,187024,Diesel,Manual,11.73,1503,Second,4.96
19,141535,CNG,Manual,23.38,2863,Third,5.17
14,75448,CNG,Automatic,18.21,1286,Fourth & Above,21.22
6,9648,Electric,Manual,19.41,1505,First,7.82
6,135576,Petrol,Manual,10.98,2325,Third,18.15
13,38623,CNG,Automatic,13.82,1964,Fourth & Above,14.63
19,195228,Diesel,Manual,25.81,1419,Third,24.45
8,40634,CNG,Manual,19.08,1576,Third,7.55
2,180674,Petrol,Manual,16.03,1246,Second,4.8
1,119598,CNG,Automatic,17.68,1008,Third,2.25
15,54334,Diesel,Manual,27.09,2298,Fourth & Above,6.78
1,73648,Electric,Automatic,24.98,2250,Third,17.42
5,27054,Diesel,Automatic,15.45,2677,Fourth & Above,3.05
16,75028,Petrol,Manual,12.35,2091,Third,6.87
19,27207,Electric,Manual,15.04,2998,First,21.53
4,86554,CNG,Manual,28.42,2542,Second,14.99
3,157458,CNG,Manual,21.63,2078,First,2.67
17,88276,CNG,Automatic,20.67,2200,Second,2.14
17,195590,Electric,Manual,21.93,2476,Fourth & Above,2.47
12,57781,Diesel,Automatic,17.32,1654,Second,23.61
14,188852,Electric,Automatic,26.14,2181,Third,21.4
6,197512,Electric,Automatic,20.47,1504,Third,21.28
3,180271,Petrol,Automatic,12.33,1625,First,23.18
9,66035,Electric,Automatic,12.58,1804,Second,13.13
5,13210,CNG,Manual,20.74,1176,Fourth & Above,6.94
17,49363,Diesel,Automatic,28.73,1772,Fourth & Above,10.63
14,83279,Diesel,Automatic,16.17,917,Third,18.25
3,196420,Diesel,Manual,27.39,1243,Fourth & Above,22.02
1,191356,CNG,Manual,25.28,1554,Third,11.44
1,158504,CNG,Automatic,14.96,1439,Third,13.85
3,191470,CNG,Automatic,10.73,2971,Third,23.36
18,139393,CNG,Manual,12.04,2100,First,3.58
10,86348,CNG,Automatic,24.57,1422,First,21.7
3,173455,Electric,Manual,13.99,2292,Third,4.82
8,118816,CNG,Manual,17.43,2808,Third,12.61
14,128053,CNG,Automatic,20.03,2451,Third,6.24
18,188965,CNG,Manual,24.51,2523,Fourth & Above,15.47
15,171892,CNG,Automatic,12.26,2719,Third,14.41
2,71262,Diesel,Automatic,18.13,1718,Third,10.12
10,139832,CNG,Automatic,19.7,1973,Second,21.72
2,158262,Electric,Manual,20.82,1985,Second,16.84
17,72411,Electric,Automatic,26.37,919,Second,18.31
8,28377,Electric,Manual,13.43,1381,Second,4.62
1,182809,Petrol,Automatic,26.16,2747,Third,22.2
9,43211,Diesel,Automatic,23.86,2946,Second,5.01
11,8744,CNG,Manual,21.12,1990,Fourth & Above,6.35
16,29995,Petrol,Automatic,23.99,2486,Fourth & Above,4.07
7,153049,CNG,Automatic,18.24,2799,Second,11.57
10,39542,Petrol,Manual,12.77,1200,First,22.31
3,15651,Petrol,Manual,23.32,2149,Fourth & Above,7.06
18,104239,Electric,Manual,20.49,2456,Fourth & Above,9.97
13,83931,Electric,Automatic,22.79,1420,Second,21.31
7,107112,Petrol,Manual,16.76,1046,Second,15.83
4,21715,Electric,Manual,28.14,1916,Third,19.04
13,180481,Petrol,Automatic,21.75,1423,Fourth & Above,6.14
1,160378,Diesel,Manual,11.71,2639,Second,18.2
8,155158,Electric,Automatic,19.0,2909,Second,6.46
14,150448,Electric,Automatic,25.13,1099,Third,24.7
16,66350,Electric,Manual,25.88,1202,Fourth & Above,14.44
14,76425,Diesel,Automatic,19.89,2471,Second,17.7
12,172708,Petrol,Manual,27.89,1052,Third,3.84
19,91120,CNG,Manual,15.35,2557,Second,7.02
15,119889,Electric,Manual,18.21,2192,First,4.35
2,187721,Petrol,Manual,27.97,2764,First,10.36
2,170682,Diesel,Automatic,27.93,959,Second,7.82
19,146130,CNG,Automatic,23.71,1004,Fourth & Above,18.59
17,79637,Electric,Manual,27.18,1961,First,3.61
10,75194,Diesel,Manual,11.78,2191,Third,19.05
6,81917,Diesel,Automatic,27.3,1657,Second,2.1
15,69200,CNG,Manual,16.41,1559,Third,5.85
11,110848,Petrol,Automatic,13.57,2390,First,20.01
5,111022,Electric,Manual,14.79,2915,Fourth & Above,18.83
1,182691,Electric,Automatic,18.36,932,Third,12.43
8,153226,Petrol,Automatic,15.02,2523,First,2.2
12,155611,Petrol,Automatic,16.41,1229,First,15.64
12,65058,Petrol,Manual,12.7,1997,First,10.76
5,67068,CNG,Manual,15.92,896,Third,8.6
7,104932,CNG,Manual,21.45,2506,First,16.37
4,166445,Electric,Manual,18.84,1977,Second,11.48
6,169226,CNG,Manual,16.93,2518,First,3.22
13,142103,Diesel,Automatic,24.93,2065,Second,22.98
15,27785,Electric,Automatic,27.87,2127,Fourth & Above,19.68
3,164741,CNG,Automatic,25.14,2108,Second,2.35
8,99475,Petrol,Automatic,16.64,1850,Fourth & Above,13.6
16,7282,Diesel,Automatic,24.89,2183,Fourth & Above,3.0
13,170696,Petrol,Automatic,13.04,1380,Second,21.09
18,184510,Electric,Automatic,12.61,1332,Fourth & Above,15.71
10,72534,Petrol,Manual,16.91,1975,Second,5.14
19,167777,CNG,Automatic,26.15,1925,Third,1.5
17,174316,CNG,Manual,14.93,1698,Fourth & Above,1.76
19,79964,Electric,Automatic,11.27,2269,Second,13.18
5,173509,Petrol,Automatic,12.63,2052,Fourth & Above,18.62
9,124006,Electric,Manual,27.17,1569,First,3.9
12,55583,Petrol,Automatic,22.68,1633,Second,6.31
1,43392,Diesel,Manual,15.06,2704,First,8.85
1,12461,CNG,Automatic,21.11,1353,Fourth & Above,6.23
15,105123,Electric,Manual,20.55,1891,Fourth & Above,10.39
2,15516,Diesel,Automatic,23.11,1996,Third,14.43
16,153586,Diesel,Manual,14.66,2460,Second,17.44
8,126251,Electric,Manual,27.29,1358,First,24.13
13,172340,Electric,Automatic,16.19,1060,Third,23.34
1,172860,Diesel,Automatic,23.88,2640,Fourth & Above,14.68
16,197121,Petrol,Manual,10.32,1947,Fourth & Above,18.62
7,67493,Diesel,Automatic,17.45,1604,Third,23.82
5,41027,Electric,Manual,17.03,1985,First,3.0
3,98547,Diesel,Automatic,20.87,1074,Fourth & Above,1.14
12,178921,Petrol,Manual,11.45,1005,Fourth & Above,1.72
16,105127,CNG,Automatic,25.8,2523,Second,14.52
19,153930,CNG,Manual,14.36,1666,Third,19.31
5,84003,Diesel,Automatic,23.54,892,Fourth & Above,9.81
14,188467,Petrol,Manual,26.06,1865,First,14.09
5,44758,CNG,Manual,21.24,2151,Second,13.39
15,59312,Diesel,Automatic,24.82,2912,Third,3.27
17,73670,Diesel,Automatic,23.24,1164,First,8.72
14,87279,Petrol,Manual,17.11,1620,Fourth & Above,1.47
5,20434,Electric,Manual,26.18,2307,Third,3.66
12,183847,Diesel,Manual,15.89,2829,Third,20.48
16,80769,Electric,Manual,21.42,2724,First,20.91
16,71677,Electric,Automatic,24.91,1885,Third,20.25
7,88555,CNG,Manual,17.58,2096,First,18.44
4,133379,Electric,Manual,16.06,1843,Fourth & Above,20.04
1,181806,Petrol,Manual,19.19,802,Second,17.1
5,106665,CNG,Automatic,26.36,2553,First,17.08
10,176675,CNG,Manual,28.6,1710,Second,17.02
5,73803,CNG,Automatic,20.9,1106,Third,13.34
4,175404,Diesel,Automatic,23.23,935,First,9.72
2,96703,Diesel,Automatic,28.07,2732,Fourth & Above,18.52
10,26312,Electric,Automatic,11.97,2408,First,8.17
19,180251,CNG,Automatic,14.64,2238,First,14.03
1,122961,CNG,Automatic,24.18,1672,First,11.4
5,45379,Petrol,Automatic,26.47,1941,Second,7.64
13,22297,Electric,Manual,27.14,1465,Second,24.39
4,7011,Petrol,Manual,18.3,1008,Third,7.21
16,125234,Electric,Automatic,11.79,1751,Third,8.42
16,49014,Electric,Manual,18.76,1857,Third,4.88
2,147810,Diesel,Manual,14.61,1448,Third,20.75
17,99333,Diesel,Automatic,15.82,2141,First,15.08
12,183570,Petrol,Manual,25.45,2967,Second,15.71
18,16120,Electric,Automatic,11.51,1426,Second,20.69
3,144839,CNG,Manual,26.55,1324,Second,9.23
1,27852,Diesel,Automatic,18.55,2404,Second,5.65
1,84239,CNG,Automatic,21.92,2668,Third,5.76
19,137001,Petrol,Manual,11.79,1568,First,18.58
11,96575,Diesel,Manual,16.75,2894,Second,15.74
5,100040,Diesel,Automatic,11.79,1571,Fourth & Above,5.95
12,153510,Electric,Automatic,29.23,1539,First,4.48
3,184587,Petrol,Automatic,26.15,1321,Fourth & Above,3.9
1,10744,Electric,Manual,19.19,2200,First,16.07
1,178489,Diesel,Manual,14.47,2981,First,1.0
8,143141,Petrol,Manual,28.67,1047,First,1.44
10,47359,Diesel,Manual,16.89,2141,Fourth & Above,10.35
11,155871,Petrol,Automatic,13.22,2658,Second,17.59
12,103746,Diesel,Automatic,21.26,1485,Second,17.68
13,125906,CNG,Automatic,28.88,1385,Fourth & Above,11.32
12,12597,CNG,Automatic,10.08,942,Second,17.59
14,52093,Electric,Manual,14.76,1766,Third,13.51
2,173298,CNG,Automatic,28.77,1517,Second,24.45
19,119650,Diesel,Automatic,13.42,1442,Third,4.9
18,162489,Diesel,Manual,12.26,1169,Third,15.42
3,154765,CNG,Manual,21.4,1909,Third,12.79
17,125956,Electric,Automatic,27.24,1586,Fourth & Above,5.67
8,120598,CNG,Manual,19.54,2283,Second,19.0
10,189233,Petrol,Automatic,29.89,1749,Second,7.61
2,138241,Petrol,Manual,23.58,2148,Fourth & Above,10.16
19,158124,Petrol,Manual,11.48,1321,Fourth & Above,10.0
9,13036,CNG,Automatic,29.86,2752,Second,6.86
7,36778,CNG,Manual,18.16,1154,Fourth & Above,11.34
4,163806,CNG,Automatic,15.75,1746,Fourth & Above,12.36
18,159245,Petrol,Manual,21.16,2282,Third,18.86
13,166475,Electric,Manual,16.09,2447,Fourth & Above,19.36
11,142416,Diesel,Manual,11.73,1335,Third,4.81
4,23800,CNG,Manual,10.03,2114,First,15.23
4,30372,Electric,Manual,18.99,1749,Third,22.51
10,66516,Diesel,Automatic,26.74,1420,Third,3.61
5,25538,Diesel,Manual,21.45,1227,Fourth & Above,12.35
9,68918,Diesel,Automatic,29.98,2525,Second,19.01
3,151045,Electric,Manual,15.74,1344,First,15.68
17,76155,Electric,Automatic,15.61,1623,First,3.41
3,64500,Petrol,Manual,13.19,1802,First,10.52
16,172647,Electric,Automatic,13.28,1458,Second,13.17
4,178333,Electric,Automatic,15.7,2858,First,24.9
18,115659,Electric,Manual,25.86,1530,First,5.29
17,32716,Diesel,Manual,28.12,2632,Second,24.58
7,139308,CNG,Manual,29.5,1208,First,10.03
5,151920,Petrol,Automatic,14.65,883,Fourth & Above,5.81
12,7352,CNG,Automatic,27.63,1506,Fourth & Above,10.94
17,138004,CNG,Manual,16.57,2761,Third,15.74
13,81449,Electric,Manual,12.26,2247,Third,6.12
3,13556,Petrol,Automatic,27.4,933,Third,7.99
9,91836,CNG,Automatic,22.72,1587,Fourth & Above,21.51
17,141570,CNG,Manual,13.29,1663,Fourth & Above,24.98
17,55098,Petrol,Automatic,18.6,1466,Fourth & Above,8.64
16,117169,Electric,Manual,15.75,1076,Third,4.57
13,145641,CNG,Manual,24.74,2575,Third,20.04
19,131060,Diesel,Manual,19.07,1681,Third,15.41
17,192954,CNG,Automatic,29.79,2860,Third,3.41
4,135544,Diesel,Automatic,11.09,2882,Third,23.72
12,5340,Electric,Automatic,17.1,2037,Third,2.87
9,180021,CNG,Automatic,19.64,958,Fourth & Above,16.01
19,87302,Petrol,Manual,20.06,1933,Second,11.17
12,198515,Petrol,Automatic,16.32,2651,Second,14.36
9,5138,CNG,Manual,24.58,1078,Third,6.12
7,136430,Electric,Manual,27.49,910,Second,17.51
14,124619,Electric,Manual,28.77,1341,Second,24.03
19,90376,Petrol,Automatic,26.1,1938,Fourth & Above,12.0
15,104931,CNG,Manual,27.01,1159,Third,13.55
16,166726,Electric,Manual,21.01,2038,Third,6.76
5,161951,Petrol,Automatic,26.52,2556,Second,22.4
3,86532,Diesel,Manual,16.07,1754,Third,24.31
12,60778,CNG,Automatic,17.97,2967,Third,19.87
4,42772,Diesel,Automatic,16.34,1775,Third,14.03
16,63478,Diesel,Automatic,19.35,1712,Third,23.96
7,31762,Electric,Manual,15.71,1951,Second,4.69
13,149355,Electric,Automatic,29.23,1522,First,12.48
10,199994,Electric,Automatic,16.26,2511,Second,13.9
7,175492,CNG,Automatic,11.96,1124,Fourth & Above,12.81
14,60568,Diesel,Automatic,20.54,2329,First,20.26
5,90090,CNG,Manual,11.14,2349,First,17.09
3,25219,Electric,Automatic,12.21,1873,First,4.04
11,62169,Diesel,Manual,14.39,2745,Second,9.31
11,79965,CNG,Automatic,19.29,2407,Fourth & Above,9.14
18,182912,CNG,Manual,18.67,2916,Second,14.58
15,180767,Petrol,Automatic,25.99,1190,Fourth & Above,8.0
12,89754,CNG,Manual,24.79,815,Second,3.81
9,82988,Electric,Automatic,18.53,1645,Second,16.69
10,194414,CNG,Manual,16.67,1668,Second,21.42
12,155023,Diesel,Manual,16.33,1367,First,23.36
17,137379,CNG,Manual,25.48,2979,Second,24.34
6,85388,Petrol,Automatic,11.04,2819,Fourth & Above,19.75
7,95768,Diesel,Manual,10.26,2446,Fourth & Above,4.35
14,40428,Diesel,Manual,25.91,1156,Fourth & Above,21.47
